id,fence_id,status,message_time,image
631,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
632,2,closed,2025-03-28 19:42:41,/static/images/closed.png
633,25,closed,2025-03-28 19:44:09,/static/images/closed.png
634,23,closed,2025-03-28 19:44:09,/static/images/closed.png
635,7,open,2025-03-28 19:49:48,/static/images/open.png
636,11,open,2025-03-28 19:51:05,/static/images/open.png
637,3,closed,2025-03-28 18:54:04,/static/images/closed.png
638,14,open,2025-03-28 18:55:23,/static/images/open.png
639,12,open,2025-03-28 19:00:13,/static/images/open.png
640,1,closed,2025-03-28 19:00:23,/static/images/closed.png
641,7,open,2025-03-28 19:01:01,/static/images/open.png
642,11,open,2025-03-28 19:10:18,/static/images/open.png
643,13,open,2025-03-28 19:12:40,/static/images/open.png
644,9,closed,2025-03-28 19:13:46,/static/images/closed.png
645,2,open,2025-03-28 19:21:32,/static/images/open.png
646,7,closed,2025-03-28 19:32:17,/static/images/closed.png
647,7,closed,2025-03-28 19:40:35,/static/images/closed.png
648,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
649,2,closed,2025-03-28 19:42:41,/static/images/closed.png
650,25,closed,2025-03-28 19:44:09,/static/images/closed.png
651,23,closed,2025-03-28 19:44:09,/static/images/closed.png
652,7,open,2025-03-28 19:49:48,/static/images/open.png
653,11,open,2025-03-28 19:51:05,/static/images/open.png
654,3,closed,2025-03-28 18:54:04,/static/images/closed.png
655,14,open,2025-03-28 18:55:23,/static/images/open.png
656,12,open,2025-03-28 19:00:13,/static/images/open.png
657,1,closed,2025-03-28 19:00:23,/static/images/closed.png
658,7,open,2025-03-28 19:01:01,/static/images/open.png
659,11,open,2025-03-28 19:10:18,/static/images/open.png
660,13,open,2025-03-28 19:12:40,/static/images/open.png
661,9,closed,2025-03-28 19:13:46,/static/images/closed.png
662,2,open,2025-03-28 19:21:32,/static/images/open.png
663,7,closed,2025-03-28 19:32:17,/static/images/closed.png
664,7,closed,2025-03-28 19:40:35,/static/images/closed.png
665,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
666,2,closed,2025-03-28 19:42:41,/static/images/closed.png
